Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1210_3225Metric",54.025000,-141.525000,90.000000,top
"C2","10u","C_1210_3225Metric",57.500000,-141.500000,90.000000,top
"C3","10u","C_1206_3216Metric",43.500000,-150.900000,90.000000,top
"C4","4.7n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.462500,-145.000000,0.000000,top
"C5","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.000000,-151.462500,90.000000,top
"C6","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.000000,-160.962500,-90.000000,top
"C7","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.462500,-147.000000,0.000000,top
"C8","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.962500,-133.500000,0.000000,top
"C9","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.425000,-161.037500,-90.000000,top
"C10","47uF","C_1210_3225Metric",50.500000,-125.075000,90.000000,top
"C11","47uF","C_1210_3225Metric",50.500000,-130.075000,-90.000000,top
"C12","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.400000,-71.700000,-90.000000,top
"C13","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.037500,-56.500000,0.000000,top
"C14","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.500000,-71.662500,90.000000,top
"C15","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.000000,-159.037500,180.000000,top
"C16","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",52.462500,-104.500000,0.000000,top
"C17","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.500000,-62.037500,90.000000,top
"C18","1000u","CP_Radial_D8.0mm_P3.50mm",51.000000,-96.250000,90.000000,top
"C19","2.2n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.500000,-62.037500,90.000000,top
"C20","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.000000,-62.037500,90.000000,top
"D1","GREEN","LED_0805_2012Metric",45.937500,-144.300000,180.000000,top
"D2","RED","LED_0805_2012Metric",45.937500,-146.500000,180.000000,top
"D3","SS54-HF","D_SMC",56.500000,-128.900000,90.000000,top
"D4","SS54-HF","D_SMC",44.500000,-168.900000,90.000000,top
"D5","SS54-HF","D_SMC",51.500000,-169.100000,90.000000,top
"D6","SS34","D_SMA",56.000000,-146.000000,0.000000,top
"D7","APHB1608CGKSURKC","LED_APHB1608CGKSURKC",42.600000,-59.850000,0.000000,top
"J1","PJ-063AH","CUI_PJ-063AH",46.500000,-176.000000,-90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",49.500000,-76.500000,0.000000,top
"L1","4.7u","L_7.3x7.3_H4.5",44.300000,-128.500000,180.000000,top
"L2","10u","L_7.3x7.3_H4.5",55.800000,-152.000000,0.000000,top
"R1","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-145.000000,0.000000,top
"R2","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-147.000000,0.000000,top
"R3","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.000000,-161.000000,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-158.000000,0.000000,top
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.425000,-161.075000,90.000000,top
"R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-56.500000,0.000000,top
"R7","1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.000000,-71.700000,-90.000000,top
"R8","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.000000,-160.000000,-90.000000,top
"R9","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.000000,-157.000000,180.000000,top
"R10","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.500000,-56.700000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.500000,-107.000000,0.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.500000,-59.000000,0.000000,top
"R13","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.500000,-85.540000,-90.000000,top
"R14","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.200000,-75.700000,-90.000000,top
"R15","10k","R_1206_3216Metric",42.537500,-141.500000,180.000000,top
"R16","100K","R_1206_3216Metric",42.575000,-136.310000,180.000000,top
"R17","100K","R_1206_3216Metric",42.537500,-138.810000,0.000000,top
"R18","52.3K","R_1206_3216Metric",56.000000,-136.462500,-90.000000,top
"R19","10K","R_1206_3216Metric",53.500000,-136.537500,90.000000,top
"R20","0.1","R_1206_3216Metric",50.000000,-156.462500,-90.000000,top
"R21","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.500000,-57.000000,-90.000000,top
"R22","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",49.400000,-57.000000,-90.000000,top
"SW1","EN","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",54.625000,-72.540000,180.000000,top
"SW2","SW_Push","SW_PUSH_6mm",46.500000,-116.500000,90.000000,top
"SW3","BOOT","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",55.260000,-85.540000,0.000000,top
"U1","TPS54560BDDA","Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",48.365000,-139.062500,-90.000000,top
"U2","8205A","SOT-23-6_Handsoldering",45.950000,-156.350000,-90.000000,top
"U3","HY2120_BMS","SOT-23-6",45.950000,-161.362500,-90.000000,top
"U4","TP5100","QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm",47.975000,-150.825000,0.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",43.700000,-65.350000,90.000000,top
"U6","ESP32-WROOM-32E","ESP32-WROOM-32D",49.750000,-44.250000,0.000000,top
"U7","SN74LVC1T45DBV","SOT-23-6",44.837500,-75.650000,180.000000,top
"U8","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",54.750000,-100.937500,-90.000000,top
"U9","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",53.750000,-67.750000,-90.000000,top
