"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
2;"C6,C15,C20,C7,C13,C17,C5,C9,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"0.1u";;;
3;"U4";"QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm";1;"TP5100";;;
4;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
5;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33k";;;
6;"R5,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100";;;
7;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7n";;;
8;"C2,C1";"C_1210_3225Metric";2;"10u";;;
9;"R19";"R_1206_3216Metric";1;"10K";;;
10;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1";;;
11;"C11,C10";"C_1210_3225Metric";2;"47uF";;;
12;"U5";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
13;"U3";"SOT-23-6";1;"HY2120_BMS";;;
14;"R18";"R_1206_3216Metric";1;"52.3K";;;
15;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1K";;;
16;"D2";"LED_0805_2012Metric";1;"RED";;;
17;"R15";"R_1206_3216Metric";1;"10k";;;
18;"R13,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10K";;;
19;"SW3";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"BOOT";;;
20;"U2";"SOT-23-6_Handsoldering";1;"8205A";;;
21;"D7";"LED_APHB1608CGKSURKC";1;"APHB1608CGKSURKC";;;
22;"J2";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03";;;
23;"R20";"R_1206_3216Metric";1;"0.1";;;
24;"U8";"TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm";1;"MAX98357A";;;
25;"L1";"L_7.3x7.3_H4.5";1;"4.7u";;;
26;"C3";"C_1206_3216Metric";1;"10u";;;
27;"D5,D3,D4";"D_SMC";3;"SS54-HF";;;
28;"R21,R14,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"470";;;
29;"R10,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7K";;;
30;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
31;"R16,R17";"R_1206_3216Metric";2;"100K";;;
32;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
33;"U7";"SOT-23-6";1;"SN74LVC1T45DBV";;;
34;"C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2n";;;
35;"J1";"CUI_PJ-063AH";1;"PJ-063AH";;;
36;"C16,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
37;"U9";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6050";;;
38;"D1";"LED_0805_2012Metric";1;"GREEN";;;
39;"L2";"L_7.3x7.3_H4.5";1;"10u";;;
40;"D6";"D_SMA";1;"SS34";;;
41;"U6";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
42;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22u";;;
43;"SW1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"EN";;;
44;"C18";"CP_Radial_D8.0mm_P3.50mm";1;"1000u";;;
45;"U1";"Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias";1;"TPS54560BDDA";;;
